onset	duration	parametric_modulation	regressor	description
16.379	1	1	1	HV Go
47.366	1	1	1	HV Go
68.37	1	1	1	HV Go
102.38	1	1	1	HV Go
112.38	1	1	1	HV Go
115.38	1	1	1	HV Go
131.15	1	1	1	HV Go
171.15	1	1	1	HV Go
200.15	1	1	1	HV Go
212.15	1	1	1	HV Go
232.15	1	1	1	HV Go
244.15	1	1	1	HV Go
16.379	1	0.16414	2	HV Go - by choice
47.366	1	0.065657	2	HV Go - by choice
68.37	1	-0.38889	2	HV Go - by choice
102.38	1	-0.0025253	2	HV Go - by choice
112.38	1	0.080808	2	HV Go - by choice
115.38	1	0.080808	2	HV Go - by choice
131.15	1	-0.0025253	2	HV Go - by choice
171.15	1	-0.38889	2	HV Go - by choice
200.15	1	0.080808	2	HV Go - by choice
212.15	1	0.16414	2	HV Go - by choice
232.15	1	0.080808	2	HV Go - by choice
244.15	1	0.065657	2	HV Go - by choice
16.379	1	0.063333	3	HV Go - by value
47.366	1	0.053333	3	HV Go - by value
68.37	1	-0.056667	3	HV Go - by value
102.38	1	-0.056667	3	HV Go - by value
112.38	1	-0.046667	3	HV Go - by value
115.38	1	0.043333	3	HV Go - by value
131.15	1	-0.056667	3	HV Go - by value
171.15	1	-0.056667	3	HV Go - by value
200.15	1	0.043333	3	HV Go - by value
212.15	1	0.063333	3	HV Go - by value
232.15	1	-0.046667	3	HV Go - by value
244.15	1	0.053333	3	HV Go - by value
16.379	1	-0.12139	4	HV Go - by GSD
47.366	1	-0.090401	4	HV Go - by GSD
68.37	1	-0.069397	4	HV Go - by GSD
102.38	1	-0.035391	4	HV Go - by GSD
112.38	1	-0.025386	4	HV Go - by GSD
115.38	1	-0.022386	4	HV Go - by GSD
131.15	1	-0.0066191	4	HV Go - by GSD
171.15	1	0.033388	4	HV Go - by GSD
200.15	1	0.062382	4	HV Go - by GSD
212.15	1	0.074398	4	HV Go - by GSD
232.15	1	0.094415	4	HV Go - by GSD
244.15	1	0.10638	4	HV Go - by GSD
21.379	1	1	5	LV Go
24.379	1	1	5	LV Go
36.38	1	1	5	LV Go
78.372	1	1	5	LV Go
82.373	1	1	5	LV Go
94.375	1	1	5	LV Go
134.15	1	1	5	LV Go
143.15	1	1	5	LV Go
186.16	1	1	5	LV Go
194.16	1	1	5	LV Go
216.15	1	1	5	LV Go
224.15	1	1	5	LV Go
21.379	1	0.14444	6	LV Go - by choice
24.379	1	-0.022222	6	LV Go - by choice
36.38	1	0.14444	6	LV Go - by choice
78.372	1	-0.055556	6	LV Go - by choice
82.373	1	-0.27222	6	LV Go - by choice
94.375	1	0.061111	6	LV Go - by choice
134.15	1	-0.022222	6	LV Go - by choice
143.15	1	0.14444	6	LV Go - by choice
186.16	1	0.14444	6	LV Go - by choice
194.16	1	0.061111	6	LV Go - by choice
216.15	1	-0.055556	6	LV Go - by choice
224.15	1	-0.27222	6	LV Go - by choice
21.379	1	0.053333	7	LV Go - by value
24.379	1	-0.056667	7	LV Go - by value
36.38	1	-0.0066667	7	LV Go - by value
78.372	1	0.0033333	7	LV Go - by value
82.373	1	0.023333	7	LV Go - by value
94.375	1	-0.016667	7	LV Go - by value
134.15	1	-0.056667	7	LV Go - by value
143.15	1	0.053333	7	LV Go - by value
186.16	1	-0.0066667	7	LV Go - by value
194.16	1	-0.016667	7	LV Go - by value
216.15	1	0.0033333	7	LV Go - by value
224.15	1	0.023333	7	LV Go - by value
21.379	1	-0.019447	8	LV Go - by GSD
24.379	1	-0.019447	8	LV Go - by GSD
36.38	1	-0.019447	8	LV Go - by GSD
78.372	1	-0.052777	8	LV Go - by GSD
82.373	1	-0.052777	8	LV Go - by GSD
94.375	1	-0.052777	8	LV Go - by GSD
