onset	duration	parametric_modulation	regressor	description
12.357	1	1	1	HV Go
21.363	1	1	1	HV Go
50.363	1	1	1	HV Go
71.351	1	1	1	HV Go
75.352	1	1	1	HV Go
94.355	1	1	1	HV Go
143.13	1	1	1	HV Go
149.13	1	1	1	HV Go
169.13	1	1	1	HV Go
173.14	1	1	1	HV Go
220.14	1	1	1	HV Go
227.13	1	1	1	HV Go
12.357	1	-0.31944	2	HV Go - by choice
21.363	1	0.43056	2	HV Go - by choice
50.363	1	0.18056	2	HV Go - by choice
71.351	1	0.097222	2	HV Go - by choice
75.352	1	-0.069444	2	HV Go - by choice
94.355	1	-0.31944	2	HV Go - by choice
143.13	1	0.097222	2	HV Go - by choice
149.13	1	-0.31944	2	HV Go - by choice
169.13	1	0.43056	2	HV Go - by choice
173.14	1	-0.31944	2	HV Go - by choice
220.14	1	-0.069444	2	HV Go - by choice
227.13	1	0.18056	2	HV Go - by choice
12.357	1	0.011667	3	HV Go - by value
21.363	1	0.041667	3	HV Go - by value
50.363	1	0.051667	3	HV Go - by value
71.351	1	-0.038333	3	HV Go - by value
75.352	1	-0.018333	3	HV Go - by value
94.355	1	-0.048333	3	HV Go - by value
143.13	1	-0.038333	3	HV Go - by value
149.13	1	0.011667	3	HV Go - by value
169.13	1	0.041667	3	HV Go - by value
173.14	1	-0.048333	3	HV Go - by value
220.14	1	-0.018333	3	HV Go - by value
227.13	1	0.051667	3	HV Go - by value
12.357	1	-0.10489	4	HV Go - by GSD
21.363	1	-0.09588	4	HV Go - by GSD
50.363	1	-0.066889	4	HV Go - by GSD
71.351	1	-0.045892	4	HV Go - by GSD
75.352	1	-0.041892	4	HV Go - by GSD
94.355	1	-0.022881	4	HV Go - by GSD
143.13	1	0.025878	4	HV Go - by GSD
149.13	1	0.031876	4	HV Go - by GSD
169.13	1	0.051893	4	HV Go - by GSD
173.14	1	0.055893	4	HV Go - by GSD
220.14	1	0.1029	4	HV Go - by GSD
227.13	1	0.10989	4	HV Go - by GSD
2.3625	1	1	5	LV Go
44.346	1	1	5	LV Go
46.363	1	1	5	LV Go
52.348	1	1	5	LV Go
115.36	1	1	5	LV Go
122.36	1	1	5	LV Go
134.13	1	1	5	LV Go
138.13	1	1	5	LV Go
177.14	1	1	5	LV Go
194.14	1	1	5	LV Go
216.14	1	1	5	LV Go
237.13	1	1	5	LV Go
2.3625	1	0.11616	6	LV Go - by choice
44.346	1	-0.30051	6	LV Go - by choice
46.363	1	-0.13384	6	LV Go - by choice
52.348	1	-0.13384	6	LV Go - by choice
115.36	1	0.28283	6	LV Go - by choice
122.36	1	0.16919	6	LV Go - by choice
134.13	1	-0.13384	6	LV Go - by choice
138.13	1	-0.13384	6	LV Go - by choice
177.14	1	0.11616	6	LV Go - by choice
194.14	1	-0.30051	6	LV Go - by choice
216.14	1	0.16919	6	LV Go - by choice
237.13	1	0.28283	6	LV Go - by choice
2.3625	1	0.005	7	LV Go - by value
44.346	1	0.075	7	LV Go - by value
46.363	1	-0.065	7	LV Go - by value
52.348	1	0.015	7	LV Go - by value
115.36	1	-0.035	7	LV Go - by value
122.36	1	0.005	7	LV Go - by value
134.13	1	0.015	7	LV Go - by value
138.13	1	-0.065	7	LV Go - by value
177.14	1	0.005	7	LV Go - by value
194.14	1	0.075	7	LV Go - by value
216.14	1	0.005	7	LV Go - by value
237.13	1	-0.035	7	LV Go - by value
2.3625	1	-0.029164	8	LV Go - by GSD
44.346	1	0.0041658	8	LV Go - by GSD
46.363	1	0.0041658	8	LV Go - by GSD
52.348	1	0.020836	8	LV Go - by GSD
115.36	1	0.0041658	8	LV Go - by GSD
122.36	1	0.0041658	8	LV Go - by GSD
134.13	1	0.0041658	8	LV Go - by GSD
138.13	1	0.0041658	8	LV Go - by GSD
177.14	1	0.0041658	8	LV Go - by GSD
194.14	1	0.0041658	8	LV Go - by GSD
216.14	1	0.0041658	8	LV Go - by GSD
237.13	1	-0.029164	8	LV Go - by GSD
7.3624	1	1	9	HV NoGo
23.363	1	1	9	HV NoGo
26.36	1	1	9	HV NoGo
42.346	1	1	9	HV NoGo
96.355	1	1	9	HV NoGo
118.36	1	1	9	HV NoGo
171.14	1	1	9	HV NoGo
179.14	1	1	9	HV NoGo
186.14	1	1	9	HV NoGo
214.14	1	1	9	HV NoGo
232.13	1	1	9	HV NoGo
241.13	1	1	9	HV NoGo
7.3624	1	-0.43056	10	HV NoGo - by choice
23.363	1	0.069444	10	HV NoGo - by choice
26.36	1	-0.18056	10	HV NoGo - by choice
42.346	1	0.15278	10	HV NoGo - by choice
96.355	1	0.23611	10	HV NoGo - by choice
118.36	1	0.15278	10	HV NoGo - by choice
171.14	1	0.15278	10	HV NoGo - by choice
179.14	1	-0.43056	10	HV NoGo - by choice
186.14	1	-0.18056	10	HV NoGo - by choice
214.14	1	0.15278	10	HV NoGo - by choice
232.13	1	0.23611	10	HV NoGo - by choice
241.13	1	0.069444	10	HV NoGo - by choice
7.3624	1	-0.06	11	HV NoGo - by value
23.363	1	-0.04	11	HV NoGo - by value
26.36	1	0.03	11	HV NoGo - by value
42.346	1	0.07	11	HV NoGo - by value
96.355	1	1.1102e-16	11	HV NoGo - by value
118.36	1	1.1102e-16	11	HV NoGo - by value
171.14	1	0.07	11	HV NoGo - by value
179.14	1	-0.06	11	HV NoGo - by value
186.14	1	0.03	11	HV NoGo - by value
214.14	1	1.1102e-16	11	HV NoGo - by value
232.13	1	1.1102e-16	11	HV NoGo - by value
241.13	1	-0.04	11	HV NoGo - by value
16.363	1	1	12	LV NoGo
28.36	1	1	12	LV NoGo
67.35	1	1	12	LV NoGo
73.351	1	1	12	LV NoGo
90.354	1	1	12	LV NoGo
111.36	1	1	12	LV NoGo
124.15	1	1	12	LV NoGo
131.13	1	1	12	LV NoGo
146.13	1	1	12	LV NoGo
156.13	1	1	12	LV NoGo
206.14	1	1	12	LV NoGo
234.13	1	1	12	LV NoGo
16.363	1	0.46465	13	LV NoGo - by choice
28.36	1	-0.035354	13	LV NoGo - by choice
67.35	1	-0.035354	13	LV NoGo - by choice
73.351	1	0.010101	13	LV NoGo - by choice
90.354	1	-0.28535	13	LV NoGo - by choice
111.36	1	-0.11869	13	LV NoGo - by choice
124.15	1	0.010101	13	LV NoGo - by choice
131.13	1	-0.11869	13	LV NoGo - by choice
146.13	1	-0.28535	13	LV NoGo - by choice
156.13	1	-0.035354	13	LV NoGo - by choice
206.14	1	-0.035354	13	LV NoGo - by choice
234.13	1	0.46465	13	LV NoGo - by choice
