onset	duration	parametric_modulation	regressor	description
15.38	1	1	1	HV Go
24.382	1	1	1	HV Go
41.385	1	1	1	HV Go
47.386	1	1	1	HV Go
75.38	1	1	1	HV Go
102.38	1	1	1	HV Go
128.15	1	1	1	HV Go
130.15	1	1	1	HV Go
139.15	1	1	1	HV Go
152.15	1	1	1	HV Go
176.16	1	1	1	HV Go
244.15	1	1	1	HV Go
15.38	1	0.064394	2	HV Go - by choice
24.382	1	0.26136	2	HV Go - by choice
41.385	1	-0.07197	2	HV Go - by choice
47.386	1	0.26136	2	HV Go - by choice
75.38	1	-0.026515	2	HV Go - by choice
102.38	1	-0.48864	2	HV Go - by choice
128.15	1	0.064394	2	HV Go - by choice
130.15	1	-0.48864	2	HV Go - by choice
139.15	1	-0.07197	2	HV Go - by choice
152.15	1	0.26136	2	HV Go - by choice
176.16	1	-0.026515	2	HV Go - by choice
244.15	1	0.26136	2	HV Go - by choice
15.38	1	-0.0033333	3	HV Go - by value
24.382	1	0.056667	3	HV Go - by value
41.385	1	-0.013333	3	HV Go - by value
47.386	1	0.036667	3	HV Go - by value
75.38	1	-0.063333	3	HV Go - by value
102.38	1	-0.013333	3	HV Go - by value
128.15	1	-0.0033333	3	HV Go - by value
130.15	1	-0.013333	3	HV Go - by value
139.15	1	-0.013333	3	HV Go - by value
152.15	1	0.056667	3	HV Go - by value
176.16	1	-0.063333	3	HV Go - by value
244.15	1	0.036667	3	HV Go - by value
15.38	1	-0.090971	4	HV Go - by GSD
24.382	1	-0.081969	4	HV Go - by GSD
41.385	1	-0.064966	4	HV Go - by GSD
47.386	1	-0.058965	4	HV Go - by GSD
75.38	1	-0.03097	4	HV Go - by GSD
102.38	1	-0.0039706	4	HV Go - by GSD
128.15	1	0.021799	4	HV Go - by GSD
130.15	1	0.023799	4	HV Go - by GSD
139.15	1	0.032801	4	HV Go - by GSD
152.15	1	0.045803	4	HV Go - by GSD
176.16	1	0.069807	4	HV Go - by GSD
244.15	1	0.1378	4	HV Go - by GSD
2.3796	1	1	5	LV Go
35.384	1	1	5	LV Go
94.381	1	1	5	LV Go
98.381	1	1	5	LV Go
106.38	1	1	5	LV Go
112.38	1	1	5	LV Go
147.15	1	1	5	LV Go
156.16	1	1	5	LV Go
187.15	1	1	5	LV Go
196.15	1	1	5	LV Go
2.3796	1	0.14909	6	LV Go - by choice
35.384	1	0.19909	6	LV Go - by choice
94.381	1	-0.10091	6	LV Go - by choice
98.381	1	0.065758	6	LV Go - by choice
106.38	1	0.30818	6	LV Go - by choice
112.38	1	-0.51758	6	LV Go - by choice
147.15	1	0.19909	6	LV Go - by choice
156.16	1	-0.51758	6	LV Go - by choice
187.15	1	0.14909	6	LV Go - by choice
196.15	1	0.065758	6	LV Go - by choice
2.3796	1	-0.035	7	LV Go - by value
35.384	1	0.045	7	LV Go - by value
94.381	1	0.035	7	LV Go - by value
98.381	1	0.035	7	LV Go - by value
106.38	1	-0.035	7	LV Go - by value
112.38	1	-0.045	7	LV Go - by value
147.15	1	0.045	7	LV Go - by value
156.16	1	-0.045	7	LV Go - by value
187.15	1	-0.035	7	LV Go - by value
196.15	1	0.035	7	LV Go - by value
2.3796	1	0.011669	8	LV Go - by GSD
35.384	1	0.044999	8	LV Go - by GSD
94.381	1	0.028339	8	LV Go - by GSD
98.381	1	0.028339	8	LV Go - by GSD
106.38	1	0.044999	8	LV Go - by GSD
112.38	1	0.044999	8	LV Go - by GSD
147.15	1	-0.038331	8	LV Go - by GSD
156.16	1	-0.021671	8	LV Go - by GSD
187.15	1	-0.071671	8	LV Go - by GSD
196.15	1	-0.071671	8	LV Go - by GSD
9.3794	1	1	9	HV NoGo
39.385	1	1	9	HV NoGo
77.38	1	1	9	HV NoGo
79.381	1	1	9	HV NoGo
96.381	1	1	9	HV NoGo
114.38	1	1	9	HV NoGo
135.15	1	1	9	HV NoGo
145.15	1	1	9	HV NoGo
162.16	1	1	9	HV NoGo
165.16	1	1	9	HV NoGo
167.16	1	1	9	HV NoGo
203.15	1	1	9	HV NoGo
9.3794	1	-0.10101	10	HV NoGo - by choice
39.385	1	0.20202	10	HV NoGo - by choice
77.38	1	0.20202	10	HV NoGo - by choice
79.381	1	0.14899	10	HV NoGo - by choice
96.381	1	-0.10101	10	HV NoGo - by choice
114.38	1	-0.35101	10	HV NoGo - by choice
135.15	1	0.20202	10	HV NoGo - by choice
145.15	1	-0.35101	10	HV NoGo - by choice
162.16	1	0.14899	10	HV NoGo - by choice
165.16	1	0.20202	10	HV NoGo - by choice
167.16	1	-0.10101	10	HV NoGo - by choice
203.15	1	-0.10101	10	HV NoGo - by choice
9.3794	1	0.051667	11	HV NoGo - by value
39.385	1	-0.058333	11	HV NoGo - by value
77.38	1	0.051667	11	HV NoGo - by value
79.381	1	-0.048333	11	HV NoGo - by value
96.381	1	0.021667	11	HV NoGo - by value
114.38	1	-0.018333	11	HV NoGo - by value
135.15	1	0.051667	11	HV NoGo - by value
145.15	1	-0.018333	11	HV NoGo - by value
162.16	1	-0.048333	11	HV NoGo - by value
165.16	1	-0.058333	11	HV NoGo - by value
167.16	1	0.051667	11	HV NoGo - by value
203.15	1	0.021667	11	HV NoGo - by value
62.38	1	1	12	LV NoGo
68.38	1	1	12	LV NoGo
73.38	1	1	12	LV NoGo
88.381	1	1	12	LV NoGo
90.381	1	1	12	LV NoGo
108.38	1	1	12	LV NoGo
124.15	1	1	12	LV NoGo
150.15	1	1	12	LV NoGo
169.16	1	1	12	LV NoGo
183.15	1	1	12	LV NoGo
226.15	1	1	12	LV NoGo
241.15	1	1	12	LV NoGo
62.38	1	0.017929	13	LV NoGo - by choice
68.38	1	-0.19874	13	LV NoGo - by choice
73.38	1	-0.23207	13	LV NoGo - by choice
88.381	1	-0.098737	13	LV NoGo - by choice
90.381	1	0.0012626	13	LV NoGo - by choice
108.38	1	0.51035	13	LV NoGo - by choice
124.15	1	-0.098737	13	LV NoGo - by choice
150.15	1	-0.23207	13	LV NoGo - by choice
169.16	1	0.51035	13	LV NoGo - by choice
183.15	1	0.0012626	13	LV NoGo - by choice
226.15	1	0.017929	13	LV NoGo - by choice
241.15	1	-0.19874	13	LV NoGo - by choice
62.38	1	-0.055	14	LV NoGo - by value
68.38	1	0.025	14	LV NoGo - by value
73.38	1	0.035	14	LV NoGo - by value
88.381	1	0.045	14	LV NoGo - by value
90.381	1	-0.015	14	LV NoGo - by value
108.38	1	-0.035	14	LV NoGo - by value
124.15	1	0.045	14	LV NoGo - by value
150.15	1	0.035	14	LV NoGo - by value
169.16	1	-0.035	14	LV NoGo - by value
183.15	1	-0.015	14	LV NoGo - by value
226.15	1	-0.055	14	LV NoGo - by value
241.15	1	0.025	14	LV NoGo - by value
173.16	1	1	15	Go - missed
221.15	1	1	15	Go - missed
55.388	1	1	16	NoGo - erroneous response
120.38	1	1	16	NoGo - erroneous response
7.3791	1	1	17	NoGo - Sanity and fillers
12.38	1	1	17	NoGo - Sanity and fillers
22.382	1	1	17	NoGo - Sanity and fillers
28.383	1	1	17	NoGo - Sanity and fillers
30.383	1	1	17	NoGo - Sanity and fillers
44.385	1	1	17	NoGo - Sanity and fillers
51.387	1	1	17	NoGo - Sanity and fillers
55.388	1	1	17	NoGo - Sanity and fillers
59.38	1	1	17	NoGo - Sanity and fillers
65.38	1	1	17	NoGo - Sanity and fillers
70.38	1	1	17	NoGo - Sanity and fillers
82.381	1	1	17	NoGo - Sanity and fillers
86.381	1	1	17	NoGo - Sanity and fillers
110.38	1	1	17	NoGo - Sanity and fillers
120.38	1	1	17	NoGo - Sanity and fillers
122.38	1	1	17	NoGo - Sanity and fillers
137.15	1	1	17	NoGo - Sanity and fillers
143.15	1	1	17	NoGo - Sanity and fillers
171.16	1	1	17	NoGo - Sanity and fillers
180.16	1	1	17	NoGo - Sanity and fillers
192.15	1	1	17	NoGo - Sanity and fillers
199.15	1	1	17	NoGo - Sanity and fillers
201.15	1	1	17	NoGo - Sanity and fillers
