onset	duration	parametric_modulation	regressor	description
2.0206	0.95604	1	1	HV Go
14.021	0.95604	1	1	HV Go
20.021	0.95604	1	1	HV Go
56.025	0.95604	1	1	HV Go
72.026	0.95604	1	1	HV Go
84.028	0.95604	1	1	HV Go
109.02	0.95604	1	1	HV Go
127.02	0.95604	1	1	HV Go
140.02	0.95604	1	1	HV Go
149.02	0.95604	1	1	HV Go
185.03	0.95604	1	1	HV Go
2.0206	0.95604	-0.32713	2	HV Go - by choice
14.021	0.95604	0.2562	2	HV Go - by choice
20.021	0.95604	-0.016529	2	HV Go - by choice
56.025	0.95604	-0.32713	2	HV Go - by choice
72.026	0.95604	0.17287	2	HV Go - by choice
84.028	0.95604	-0.016529	2	HV Go - by choice
109.02	0.95604	0.17287	2	HV Go - by choice
127.02	0.95604	0.2562	2	HV Go - by choice
140.02	0.95604	-0.016529	2	HV Go - by choice
149.02	0.95604	-0.32713	2	HV Go - by choice
185.03	0.95604	0.17287	2	HV Go - by choice
2.0206	0.95604	-0.01	3	HV Go - by value diff
14.021	0.95604	0.1	3	HV Go - by value diff
20.021	0.95604	-0.04	3	HV Go - by value diff
56.025	0.95604	-0.12	3	HV Go - by value diff
72.026	0.95604	0.01	3	HV Go - by value diff
84.028	0.95604	0.03	3	HV Go - by value diff
109.02	0.95604	0.15	3	HV Go - by value diff
127.02	0.95604	0.03	3	HV Go - by value diff
140.02	0.95604	-0.08	3	HV Go - by value diff
149.02	0.95604	0.04	3	HV Go - by value diff
185.03	0.95604	-0.01	3	HV Go - by value diff
6.0207	0.95604	1	4	HV NoGo
42.021	0.95604	1	4	HV NoGo
53.022	0.95604	1	4	HV NoGo
66.025	0.95604	1	4	HV NoGo
105.02	0.95604	1	4	HV NoGo
160.03	0.95604	1	4	HV NoGo
173.03	0.95604	1	4	HV NoGo
6.0207	0.95604	-0.0010823	5	HV NoGo - by choice
42.021	0.95604	-0.32684	5	HV NoGo - by choice
53.022	0.95604	-0.0010823	5	HV NoGo - by choice
66.025	0.95604	0.16558	5	HV NoGo - by choice
105.02	0.95604	-0.0010823	5	HV NoGo - by choice
160.03	0.95604	0.16558	5	HV NoGo - by choice
173.03	0.95604	-0.0010823	5	HV NoGo - by choice
6.0207	0.95604	0.1	6	HV NoGo - by value diff
42.021	0.95604	0.14	6	HV NoGo - by value diff
53.022	0.95604	0.08	6	HV NoGo - by value diff
66.025	0.95604	-0.04	6	HV NoGo - by value diff
105.02	0.95604	0.1	6	HV NoGo - by value diff
160.03	0.95604	0.04	6	HV NoGo - by value diff
173.03	0.95604	-0.03	6	HV NoGo - by value diff
2.0206	0.95604	0.53443	7	HV - by RT
6.0207	0.95604	0.19834	7	HV - by RT
14.021	0.95604	0.020228	7	HV - by RT
20.021	0.95604	-0.058832	7	HV - by RT
42.021	0.95604	-0.086242	7	HV - by RT
53.022	0.95604	0.10891	7	HV - by RT
56.025	0.95604	0.12349	7	HV - by RT
66.025	0.95604	-0.054462	7	HV - by RT
72.026	0.95604	-0.10754	7	HV - by RT
84.028	0.95604	-0.17958	7	HV - by RT
105.02	0.95604	-0.17707	7	HV - by RT
109.02	0.95604	-0.13327	7	HV - by RT
127.02	0.95604	0.041538	7	HV - by RT
140.02	0.95604	-0.10755	7	HV - by RT
149.02	0.95604	-0.045602	7	HV - by RT
160.03	0.95604	0.14102	7	HV - by RT
173.03	0.95604	-0.10233	7	HV - by RT
185.03	0.95604	-0.11545	7	HV - by RT
9.0207	0.95604	1	8	LV Go
17.021	0.95604	1	8	LV Go
34.021	0.95604	1	8	LV Go
38.021	0.95604	1	8	LV Go
45.021	0.95604	1	8	LV Go
48.021	0.95604	1	8	LV Go
75.026	0.95604	1	8	LV Go
91.029	0.95604	1	8	LV Go
96.022	0.95604	1	8	LV Go
99.022	0.95604	1	8	LV Go
124.02	0.95604	1	8	LV Go
131.02	0.95604	1	8	LV Go
163.02	0.95604	1	8	LV Go
188.03	0.95604	1	8	LV Go
9.0207	0.95604	-0.21104	9	LV Go - by choice
17.021	0.95604	-0.25649	9	LV Go - by choice
34.021	0.95604	-0.29437	9	LV Go - by choice
38.021	0.95604	-0.29437	9	LV Go - by choice
45.021	0.95604	0.28896	9	LV Go - by choice
48.021	0.95604	0.12229	9	LV Go - by choice
75.026	0.95604	0.28896	9	LV Go - by choice
91.029	0.95604	0.12229	9	LV Go - by choice
96.022	0.95604	0.28896	9	LV Go - by choice
99.022	0.95604	-0.12771	9	LV Go - by choice
124.02	0.95604	0.28896	9	LV Go - by choice
131.02	0.95604	-0.21104	9	LV Go - by choice
163.02	0.95604	0.12229	9	LV Go - by choice
188.03	0.95604	-0.12771	9	LV Go - by choice
9.0207	0.95604	-0.06	10	LV Go - by value diff
17.021	0.95604	-0.03	10	LV Go - by value diff
34.021	0.95604	-0.06	10	LV Go - by value diff
38.021	0.95604	-0.02	10	LV Go - by value diff
45.021	0.95604	0.12	10	LV Go - by value diff
48.021	0.95604	-0.01	10	LV Go - by value diff
75.026	0.95604	0.16	10	LV Go - by value diff
91.029	0.95604	0.08	10	LV Go - by value diff
96.022	0.95604	0.01	10	LV Go - by value diff
99.022	0.95604	0.04	10	LV Go - by value diff
124.02	0.95604	0.1	10	LV Go - by value diff
131.02	0.95604	-0.04	10	LV Go - by value diff
163.02	0.95604	0.12	10	LV Go - by value diff
188.03	0.95604	-0.09	10	LV Go - by value diff
79.027	0.95604	1	11	LV NoGo
121.02	0.95604	1	11	LV NoGo
137.02	0.95604	1	11	LV NoGo
177.03	0.95604	1	11	LV NoGo
79.027	0.95604	0	12	LV NoGo - by choice
121.02	0.95604	0.25	12	LV NoGo - by choice
137.02	0.95604	0	12	LV NoGo - by choice
177.03	0.95604	-0.25	12	LV NoGo - by choice
79.027	0.95604	-0.04	13	LV NoGo - by value diff
121.02	0.95604	0.13	13	LV NoGo - by value diff
137.02	0.95604	-0.05	13	LV NoGo - by value diff
177.03	0.95604	0.15	13	LV NoGo - by value diff
9.0207	0.95604	0.30058	14	LV - by RT
17.021	0.95604	0.072478	14	LV - by RT
34.021	0.95604	0.0082183	14	LV - by RT
38.021	0.95604	-0.060852	14	LV - by RT
45.021	0.95604	0.019988	14	LV - by RT
48.021	0.95604	-0.090052	14	LV - by RT
75.026	0.95604	-0.10376	14	LV - by RT
79.027	0.95604	-0.17438	14	LV - by RT
91.029	0.95604	0.025608	14	LV - by RT
96.022	0.95604	-0.16176	14	LV - by RT
99.022	0.95604	-0.14175	14	LV - by RT
121.02	0.95604	-0.037002	14	LV - by RT
124.02	0.95604	0.018868	14	LV - by RT
131.02	0.95604	0.32187	14	LV - by RT
137.02	0.95604	-0.089262	14	LV - by RT
163.02	0.95604	0.1577	14	LV - by RT
177.03	0.95604	-0.019832	14	LV - by RT
188.03	0.95604	-0.046652	14	LV - by RT
