onset	duration	parametric_modulation	regressor	description
12.429	1	1	1	HV Go
46.43	1	1	1	HV Go
79.426	1	1	1	HV Go
90.428	1	1	1	HV Go
94.431	1	1	1	HV Go
102.43	1	1	1	HV Go
124.22	1	1	1	HV Go
146.21	1	1	1	HV Go
184.22	1	1	1	HV Go
195.22	1	1	1	HV Go
197.22	1	1	1	HV Go
228.22	1	1	1	HV Go
12.429	1	0.23333	2	HV Go - by choice
46.43	1	-0.1	2	HV Go - by choice
79.426	1	-0.083333	2	HV Go - by choice
90.428	1	0.23333	2	HV Go - by choice
94.431	1	-0.18333	2	HV Go - by choice
102.43	1	-0.1	2	HV Go - by choice
124.22	1	-0.1	2	HV Go - by choice
146.21	1	-0.18333	2	HV Go - by choice
184.22	1	0.23333	2	HV Go - by choice
195.22	1	-0.083333	2	HV Go - by choice
197.22	1	-0.1	2	HV Go - by choice
228.22	1	0.23333	2	HV Go - by choice
12.429	1	0.041667	3	HV Go - by value
46.43	1	-0.0083333	3	HV Go - by value
79.426	1	0.0016667	3	HV Go - by value
90.428	1	0.0016667	3	HV Go - by value
94.431	1	-0.048333	3	HV Go - by value
102.43	1	0.011667	3	HV Go - by value
124.22	1	-0.0083333	3	HV Go - by value
146.21	1	-0.048333	3	HV Go - by value
184.22	1	0.0016667	3	HV Go - by value
195.22	1	0.0016667	3	HV Go - by value
197.22	1	0.011667	3	HV Go - by value
228.22	1	0.041667	3	HV Go - by value
12.429	1	-0.11264	4	HV Go - by GSD
46.43	1	-0.078643	4	HV Go - by GSD
79.426	1	-0.045647	4	HV Go - by GSD
90.428	1	-0.034643	4	HV Go - by GSD
94.431	1	-0.030642	4	HV Go - by GSD
102.43	1	-0.022642	4	HV Go - by GSD
124.22	1	-0.0008554	4	HV Go - by GSD
146.21	1	0.021142	4	HV Go - by GSD
184.22	1	0.059142	4	HV Go - by GSD
195.22	1	0.070142	4	HV Go - by GSD
197.22	1	0.072142	4	HV Go - by GSD
228.22	1	0.10315	4	HV Go - by GSD
7.4303	1	1	5	LV Go
28.43	1	1	5	LV Go
67.43	1	1	5	LV Go
83.427	1	1	5	LV Go
92.431	1	1	5	LV Go
111.42	1	1	5	LV Go
129.22	1	1	5	LV Go
201.22	1	1	5	LV Go
210.22	1	1	5	LV Go
230.22	1	1	5	LV Go
236.22	1	1	5	LV Go
242.22	1	1	5	LV Go
7.4303	1	-0.39318	6	LV Go - by choice
28.43	1	-0.35985	6	LV Go - by choice
67.43	1	0.44015	6	LV Go - by choice
83.427	1	0.27348	6	LV Go - by choice
92.431	1	0.34924	6	LV Go - by choice
111.42	1	-0.30985	6	LV Go - by choice
129.22	1	-0.35985	6	LV Go - by choice
201.22	1	0.34924	6	LV Go - by choice
210.22	1	-0.30985	6	LV Go - by choice
230.22	1	0.44015	6	LV Go - by choice
236.22	1	0.27348	6	LV Go - by choice
242.22	1	-0.39318	6	LV Go - by choice
7.4303	1	0.01	7	LV Go - by value
28.43	1	0.05	7	LV Go - by value
67.43	1	-0.03	7	LV Go - by value
83.427	1	0.03	7	LV Go - by value
92.431	1	-0.02	7	LV Go - by value
111.42	1	-0.04	7	LV Go - by value
129.22	1	0.05	7	LV Go - by value
201.22	1	-0.02	7	LV Go - by value
210.22	1	-0.04	7	LV Go - by value
230.22	1	-0.03	7	LV Go - by value
236.22	1	0.03	7	LV Go - by value
242.22	1	0.01	7	LV Go - by value
7.4303	1	0.065275	8	LV Go - by GSD
28.43	1	0.081945	8	LV Go - by GSD
67.43	1	0.031945	8	LV Go - by GSD
83.427	1	-0.018055	8	LV Go - by GSD
92.431	1	-0.001395	8	LV Go - by GSD
111.42	1	0.031945	8	LV Go - by GSD
129.22	1	0.048615	8	LV Go - by GSD
201.22	1	-0.018055	8	LV Go - by GSD
210.22	1	-0.018055	8	LV Go - by GSD
230.22	1	-0.068055	8	LV Go - by GSD
236.22	1	-0.068055	8	LV Go - by GSD
242.22	1	-0.068055	8	LV Go - by GSD
21.43	1	1	9	HV NoGo
37.43	1	1	9	HV NoGo
69.43	1	1	9	HV NoGo
75.426	1	1	9	HV NoGo
87.428	1	1	9	HV NoGo
96.429	1	1	9	HV NoGo
157.22	1	1	9	HV NoGo
181.22	1	1	9	HV NoGo
187.22	1	1	9	HV NoGo
190.22	1	1	9	HV NoGo
204.22	1	1	9	HV NoGo
244.22	1	1	9	HV NoGo
21.43	1	0.050505	10	HV NoGo - by choice
37.43	1	0.18687	10	HV NoGo - by choice
69.43	1	0.10354	10	HV NoGo - by choice
75.426	1	-0.2298	10	HV NoGo - by choice
87.428	1	-0.13131	10	HV NoGo - by choice
96.429	1	0.020202	10	HV NoGo - by choice
157.22	1	-0.2298	10	HV NoGo - by choice
181.22	1	0.18687	10	HV NoGo - by choice
187.22	1	0.050505	10	HV NoGo - by choice
190.22	1	-0.13131	10	HV NoGo - by choice
204.22	1	0.020202	10	HV NoGo - by choice
244.22	1	0.10354	10	HV NoGo - by choice
21.43	1	0.045	11	HV NoGo - by value
37.43	1	0.035	11	HV NoGo - by value
69.43	1	-0.005	11	HV NoGo - by value
75.426	1	0.005	11	HV NoGo - by value
87.428	1	-0.035	11	HV NoGo - by value
96.429	1	-0.045	11	HV NoGo - by value
157.22	1	0.005	11	HV NoGo - by value
181.22	1	0.035	11	HV NoGo - by value
187.22	1	0.045	11	HV NoGo - by value
190.22	1	-0.035	11	HV NoGo - by value
204.22	1	-0.045	11	HV NoGo - by value
244.22	1	-0.005	11	HV NoGo - by value
2.4297	1	1	12	LV NoGo
16.43	1	1	12	LV NoGo
44.43	1	1	12	LV NoGo
104.41	1	1	12	LV NoGo
118.42	1	1	12	LV NoGo
122.42	1	1	12	LV NoGo
152.22	1	1	12	LV NoGo
173.22	1	1	12	LV NoGo
177.22	1	1	12	LV NoGo
220.22	1	1	12	LV NoGo
232.22	1	1	12	LV NoGo
234.22	1	1	12	LV NoGo
2.4297	1	0.064394	13	LV NoGo - by choice
16.43	1	0.23106	13	LV NoGo - by choice
44.43	1	-0.26894	13	LV NoGo - by choice
104.41	1	-0.07197	13	LV NoGo - by choice
118.42	1	-0.10227	13	LV NoGo - by choice
122.42	1	0.14773	13	LV NoGo - by choice
152.22	1	-0.10227	13	LV NoGo - by choice
173.22	1	-0.07197	13	LV NoGo - by choice
177.22	1	0.23106	13	LV NoGo - by choice
220.22	1	0.064394	13	LV NoGo - by choice
232.22	1	-0.26894	13	LV NoGo - by choice
234.22	1	0.14773	13	LV NoGo - by choice
2.4297	1	0.021667	14	LV NoGo - by value
16.43	1	-0.018333	14	LV NoGo - by value
44.43	1	-0.038333	14	LV NoGo - by value
104.41	1	-0.028333	14	LV NoGo - by value
118.42	1	0.051667	14	LV NoGo - by value
122.42	1	0.011667	14	LV NoGo - by value
152.22	1	0.051667	14	LV NoGo - by value
173.22	1	-0.028333	14	LV NoGo - by value
177.22	1	-0.018333	14	LV NoGo - by value
220.22	1	0.021667	14	LV NoGo - by value
232.22	1	-0.038333	14	LV NoGo - by value
