onset	duration	parametric_modulation	regressor	description
10.028	2	1	1	HV Go
27.021	2	1	1	HV Go
30.021	2	1	1	HV Go
62.022	2	1	1	HV Go
72.022	2	1	1	HV Go
107.03	2	1	1	HV Go
52.022	2	1	2	HV NoGo
68.022	2	1	2	HV NoGo
97.026	2	1	2	HV NoGo
142.02	2	1	2	HV NoGo
154.02	2	1	2	HV NoGo
157.02	2	1	2	HV NoGo
19.021	2	1	3	LV Go
45.021	2	1	3	LV Go
56.022	2	1	3	LV Go
92.025	2	1	3	LV Go
122.02	2	1	3	LV Go
150.02	2	1	3	LV Go
16.021	2	1	4	LV NoGo
37.021	2	1	4	LV NoGo
81.023	2	1	4	LV NoGo
101.03	2	1	4	LV NoGo
119.02	2	1	4	LV NoGo
134.02	2	1	4	LV NoGo
40.021	2	1	5	HV Neutral
59.022	2	1	5	HV Neutral
86.024	2	1	5	HV Neutral
104.03	2	1	5	HV Neutral
127.02	2	1	5	HV Neutral
161.02	2	1	5	HV Neutral
22.021	2	1	6	LV Neutral
65.022	2	1	6	LV Neutral
77.023	2	1	6	LV Neutral
130.02	2	1	6	LV Neutral
137.02	2	1	6	LV Neutral
145.02	2	1	6	LV Neutral
2.1595	2	1	7	HV Sanity
33.021	2	1	7	HV Sanity
7.0269	2	1	8	LV Sanity
115.02	2	1	8	LV Sanity
10.028	2	-0.18056	9	HV Go - by choice
27.021	2	0.15278	9	HV Go - by choice
30.021	2	-0.18056	9	HV Go - by choice
62.022	2	0.069444	9	HV Go - by choice
72.022	2	-0.18056	9	HV Go - by choice
107.03	2	0.31944	9	HV Go - by choice
52.022	2	0.097222	10	HV NoGo - by choice
68.022	2	-0.069444	10	HV NoGo - by choice
97.026	2	-0.15278	10	HV NoGo - by choice
142.02	2	0.34722	10	HV NoGo - by choice
154.02	2	-0.31944	10	HV NoGo - by choice
157.02	2	0.097222	10	HV NoGo - by choice
19.021	2	0.22222	11	LV Go - by choice
45.021	2	-0.27778	11	LV Go - by choice
56.022	2	-0.027778	11	LV Go - by choice
92.025	2	0.055556	11	LV Go - by choice
122.02	2	-0.19444	11	LV Go - by choice
150.02	2	0.22222	11	LV Go - by choice
16.021	2	-0.22222	12	LV NoGo - by choice
37.021	2	0.36111	12	LV NoGo - by choice
81.023	2	-0.22222	12	LV NoGo - by choice
101.03	2	0.027778	12	LV NoGo - by choice
119.02	2	0.27778	12	LV NoGo - by choice
134.02	2	-0.22222	12	LV NoGo - by choice
2.1595	2	0.31743	13	All - by value
7.0269	2	-0.30026	13	All - by value
10.028	2	0.1994	13	All - by value
16.021	2	-0.29729	13	All - by value
19.021	2	-0.26212	13	All - by value
22.021	2	-0.32649	13	All - by value
27.021	2	0.20494	13	All - by value
30.021	2	0.28481	13	All - by value
33.021	2	0.3174	13	All - by value
37.021	2	-0.26173	13	All - by value
40.021	2	0.090973	13	All - by value
45.021	2	-0.25779	13	All - by value
52.022	2	0.22545	13	All - by value
56.022	2	-0.25503	13	All - by value
59.022	2	0.36812	13	All - by value
62.022	2	0.16792	13	All - by value
65.022	2	-0.33281	13	All - by value
68.022	2	0.21619	13	All - by value
72.022	2	0.22542	13	All - by value
77.023	2	-0.14188	13	All - by value
81.023	2	-0.20804	13	All - by value
86.024	2	0.15988	13	All - by value
92.025	2	-0.29772	13	All - by value
97.026	2	0.20394	13	All - by value
101.03	2	-0.16958	13	All - by value
104.03	2	0.37205	13	All - by value
107.03	2	0.3085	13	All - by value
115.02	2	-0.30091	13	All - by value
119.02	2	-0.25252	13	All - by value
122.02	2	-0.21194	13	All - by value
127.02	2	0.1533	13	All - by value
130.02	2	-0.1082	13	All - by value
134.02	2	-0.26373	13	All - by value
137.02	2	-0.1407	13	All - by value
142.02	2	0.31391	13	All - by value
145.02	2	-0.097418	13	All - by value
150.02	2	-0.15043	13	All - by value
154.02	2	0.1666	13	All - by value
157.02	2	0.22378	13	All - by value
161.02	2	0.11657	13	All - by value
