onset	duration	parametric_modulation	regressor	description
35.023	2	1	1	HV Go
85.024	2	1	1	HV Go
95.024	2	1	1	HV Go
102.02	2	1	1	HV Go
135.02	2	1	1	HV Go
157.01	2	1	1	HV Go
6.0227	2	1	2	HV NoGo
24.023	2	1	2	HV NoGo
44.023	2	1	2	HV NoGo
52.023	2	1	2	HV NoGo
60.023	2	1	2	HV NoGo
122.02	2	1	2	HV NoGo
2.1392	2	1	3	LV Go
27.023	2	1	3	LV Go
66.023	2	1	3	LV Go
75.024	2	1	3	LV Go
90.024	2	1	3	LV Go
152.02	2	1	3	LV Go
15.024	2	1	4	LV NoGo
20.026	2	1	4	LV NoGo
31.023	2	1	4	LV NoGo
63.024	2	1	4	LV NoGo
116.02	2	1	4	LV NoGo
139.02	2	1	4	LV NoGo
11.023	2	1	5	HV Neutral
41.023	2	1	5	HV Neutral
47.023	2	1	5	HV Neutral
69.024	2	1	5	HV Neutral
108.02	2	1	5	HV Neutral
111.02	2	1	5	HV Neutral
72.024	2	1	6	LV Neutral
79.024	2	1	6	LV Neutral
82.024	2	1	6	LV Neutral
125.02	2	1	6	LV Neutral
148.02	2	1	6	LV Neutral
161.02	2	1	6	LV Neutral
119.02	2	1	7	HV Sanity
130.02	2	1	7	HV Sanity
105.02	2	1	8	LV Sanity
145.02	2	1	8	LV Sanity
35.023	2	0.013889	9	HV Go - by choice
85.024	2	0.26389	9	HV Go - by choice
95.024	2	0.097222	9	HV Go - by choice
102.02	2	-0.069444	9	HV Go - by choice
135.02	2	0.013889	9	HV Go - by choice
157.01	2	-0.31944	9	HV Go - by choice
6.0227	2	0.069444	10	HV NoGo - by choice
24.023	2	0.069444	10	HV NoGo - by choice
44.023	2	0.23611	10	HV NoGo - by choice
52.023	2	-0.013889	10	HV NoGo - by choice
60.023	2	-0.18056	10	HV NoGo - by choice
122.02	2	-0.18056	10	HV NoGo - by choice
2.1392	2	-0.11111	11	LV Go - by choice
27.023	2	-0.027778	11	LV Go - by choice
66.023	2	-0.11111	11	LV Go - by choice
75.024	2	0.38889	11	LV Go - by choice
90.024	2	0.22222	11	LV Go - by choice
152.02	2	-0.36111	11	LV Go - by choice
15.024	2	-0.13889	12	LV NoGo - by choice
20.026	2	-0.055556	12	LV NoGo - by choice
31.023	2	-0.13889	12	LV NoGo - by choice
63.024	2	0.44444	12	LV NoGo - by choice
116.02	2	0.11111	12	LV NoGo - by choice
139.02	2	-0.22222	12	LV NoGo - by choice
2.1392	2	-0.20947	13	All - by value
6.0227	2	0.20289	13	All - by value
11.023	2	0.085197	13	All - by value
15.024	2	-0.18777	13	All - by value
20.026	2	-0.16852	13	All - by value
24.023	2	0.10015	13	All - by value
27.023	2	-0.21284	13	All - by value
31.023	2	-0.21851	13	All - by value
35.023	2	0.092882	13	All - by value
41.023	2	0.35875	13	All - by value
44.023	2	0.2562	13	All - by value
47.023	2	0.034189	13	All - by value
52.023	2	0.11942	13	All - by value
60.023	2	0.17095	13	All - by value
63.024	2	-0.13267	13	All - by value
66.023	2	-0.17063	13	All - by value
69.024	2	0.071437	13	All - by value
72.024	2	-0.11812	13	All - by value
75.024	2	-0.2064	13	All - by value
79.024	2	-0.13109	13	All - by value
82.024	2	-0.13154	13	All - by value
85.024	2	0.26911	13	All - by value
90.024	2	-0.1568	13	All - by value
95.024	2	0.1821	13	All - by value
102.02	2	0.20977	13	All - by value
105.02	2	-0.22107	13	All - by value
108.02	2	0.3604	13	All - by value
111.02	2	0.046962	13	All - by value
116.02	2	-0.18352	13	All - by value
119.02	2	0.30656	13	All - by value
122.02	2	0.26249	13	All - by value
125.02	2	-0.32625	13	All - by value
130.02	2	0.34663	13	All - by value
135.02	2	0.18146	13	All - by value
139.02	2	-0.20703	13	All - by value
145.02	2	-0.26335	13	All - by value
148.02	2	-0.12521	13	All - by value
152.02	2	-0.15791	13	All - by value
157.01	2	0.15212	13	All - by value
161.02	2	-0.28095	13	All - by value
