onset	duration	parametric_modulation	regressor	description
24.418	1	1	1	HV Go
41.42	1	1	1	HV Go
44.419	1	1	1	HV Go
47.419	1	1	1	HV Go
73.419	1	1	1	HV Go
102.42	1	1	1	HV Go
138.22	1	1	1	HV Go
168.22	1	1	1	HV Go
174.22	1	1	1	HV Go
193.22	1	1	1	HV Go
224.22	1	1	1	HV Go
244.22	1	1	1	HV Go
24.418	1	-0.20202	2	HV Go - by choice
41.42	1	-0.035354	2	HV Go - by choice
44.419	1	0.46465	2	HV Go - by choice
47.419	1	-0.11869	2	HV Go - by choice
73.419	1	-0.28535	2	HV Go - by choice
102.42	1	0.17677	2	HV Go - by choice
138.22	1	-0.28535	2	HV Go - by choice
168.22	1	-0.20202	2	HV Go - by choice
174.22	1	-0.035354	2	HV Go - by choice
193.22	1	-0.11869	2	HV Go - by choice
224.22	1	0.17677	2	HV Go - by choice
244.22	1	0.46465	2	HV Go - by choice
24.418	1	-0.031667	3	HV Go - by value
41.42	1	-0.051667	3	HV Go - by value
44.419	1	0.058333	3	HV Go - by value
47.419	1	0.088333	3	HV Go - by value
73.419	1	-0.051667	3	HV Go - by value
102.42	1	-0.011667	3	HV Go - by value
138.22	1	-0.051667	3	HV Go - by value
168.22	1	-0.031667	3	HV Go - by value
174.22	1	-0.051667	3	HV Go - by value
193.22	1	0.088333	3	HV Go - by value
224.22	1	-0.011667	3	HV Go - by value
244.22	1	0.058333	3	HV Go - by value
24.418	1	-0.098569	4	HV Go - by GSD
41.42	1	-0.081566	4	HV Go - by GSD
44.419	1	-0.078566	4	HV Go - by GSD
47.419	1	-0.075568	4	HV Go - by GSD
73.419	1	-0.049568	4	HV Go - by GSD
102.42	1	-0.020567	4	HV Go - by GSD
138.22	1	0.015235	4	HV Go - by GSD
168.22	1	0.045233	4	HV Go - by GSD
174.22	1	0.051233	4	HV Go - by GSD
193.22	1	0.070234	4	HV Go - by GSD
224.22	1	0.10123	4	HV Go - by GSD
244.22	1	0.12124	4	HV Go - by GSD
59.419	1	1	5	LV Go
68.419	1	1	5	LV Go
88.419	1	1	5	LV Go
108.42	1	1	5	LV Go
110.42	1	1	5	LV Go
122.42	1	1	5	LV Go
166.22	1	1	5	LV Go
185.22	1	1	5	LV Go
197.22	1	1	5	LV Go
216.22	1	1	5	LV Go
220.22	1	1	5	LV Go
233.22	1	1	5	LV Go
59.419	1	0.44444	6	LV Go - by choice
68.419	1	-0.30556	6	LV Go - by choice
88.419	1	-0.38889	6	LV Go - by choice
108.42	1	0.27778	6	LV Go - by choice
110.42	1	0.19444	6	LV Go - by choice
122.42	1	-0.22222	6	LV Go - by choice
166.22	1	-0.38889	6	LV Go - by choice
185.22	1	-0.22222	6	LV Go - by choice
197.22	1	0.19444	6	LV Go - by choice
216.22	1	0.27778	6	LV Go - by choice
220.22	1	-0.30556	6	LV Go - by choice
233.22	1	0.44444	6	LV Go - by choice
59.419	1	0.031667	7	LV Go - by value
68.419	1	0.061667	7	LV Go - by value
88.419	1	-0.0083333	7	LV Go - by value
108.42	1	-0.068333	7	LV Go - by value
110.42	1	0.021667	7	LV Go - by value
122.42	1	-0.038333	7	LV Go - by value
166.22	1	-0.0083333	7	LV Go - by value
185.22	1	-0.038333	7	LV Go - by value
197.22	1	0.021667	7	LV Go - by value
216.22	1	-0.068333	7	LV Go - by value
220.22	1	0.061667	7	LV Go - by value
233.22	1	0.031667	7	LV Go - by value
59.419	1	-0.016664	8	LV Go - by GSD
68.419	1	-0.016664	8	LV Go - by GSD
88.419	1	5.8333e-06	8	LV Go - by GSD
108.42	1	0.016666	8	LV Go - by GSD
110.42	1	0.016666	8	LV Go - by GSD
122.42	1	0.016666	8	LV Go - by GSD
166.22	1	-0.033334	8	LV Go - by GSD
185.22	1	-4.1667e-06	8	LV Go - by GSD
197.22	1	0.016666	8	LV Go - by GSD
216.22	1	0.016666	8	LV Go - by GSD
220.22	1	0.016666	8	LV Go - by GSD
233.22	1	-0.033334	8	LV Go - by GSD
7.418	1	1	9	HV NoGo
22.418	1	1	9	HV NoGo
35.419	1	1	9	HV NoGo
86.419	1	1	9	HV NoGo
114.42	1	1	9	HV NoGo
120.42	1	1	9	HV NoGo
124.22	1	1	9	HV NoGo
134.22	1	1	9	HV NoGo
164.22	1	1	9	HV NoGo
209.22	1	1	9	HV NoGo
212.22	1	1	9	HV NoGo
237.22	1	1	9	HV NoGo
7.418	1	-0.049242	10	HV NoGo - by choice
22.418	1	0.11742	10	HV NoGo - by choice
35.419	1	-0.049242	10	HV NoGo - by choice
86.419	1	-0.049242	10	HV NoGo - by choice
114.42	1	0.11742	10	HV NoGo - by choice
120.42	1	-0.087121	10	HV NoGo - by choice
124.22	1	-0.049242	10	HV NoGo - by choice
134.22	1	0.11742	10	HV NoGo - by choice
164.22	1	0.11742	10	HV NoGo - by choice
209.22	1	-0.087121	10	HV NoGo - by choice
212.22	1	-0.049242	10	HV NoGo - by choice
237.22	1	-0.049242	10	HV NoGo - by choice
7.418	1	-0.035	11	HV NoGo - by value
22.418	1	0.105	11	HV NoGo - by value
35.419	1	-0.015	11	HV NoGo - by value
86.419	1	-0.005	11	HV NoGo - by value
114.42	1	0.035	11	HV NoGo - by value
120.42	1	-0.085	11	HV NoGo - by value
124.22	1	-0.005	11	HV NoGo - by value
134.22	1	0.105	11	HV NoGo - by value
164.22	1	0.035	11	HV NoGo - by value
209.22	1	-0.085	11	HV NoGo - by value
212.22	1	-0.015	11	HV NoGo - by value
237.22	1	-0.035	11	HV NoGo - by value
30.418	1	1	12	LV NoGo
65.419	1	1	12	LV NoGo
70.419	1	1	12	LV NoGo
75.419	1	1	12	LV NoGo
94.419	1	1	12	LV NoGo
112.42	1	1	12	LV NoGo
145.22	1	1	12	LV NoGo
150.22	1	1	12	LV NoGo
156.22	1	1	12	LV NoGo
180.22	1	1	12	LV NoGo
183.22	1	1	12	LV NoGo
218.22	1	1	12	LV NoGo
30.418	1	-0.36111	13	LV NoGo - by choice
65.419	1	0.22222	13	LV NoGo - by choice
70.419	1	0.055556	13	LV NoGo - by choice
75.419	1	-0.11111	13	LV NoGo - by choice
94.419	1	0.055556	13	LV NoGo - by choice
112.42	1	0.13889	13	LV NoGo - by choice
145.22	1	0.055556	13	LV NoGo - by choice
150.22	1	0.055556	13	LV NoGo - by choice
156.22	1	0.13889	13	LV NoGo - by choice
180.22	1	-0.11111	13	LV NoGo - by choice
183.22	1	-0.36111	13	LV NoGo - by choice
218.22	1	0.22222	13	LV NoGo - by choice
30.418	1	-0.016667	14	LV NoGo - by value
65.419	1	0.023333	14	LV NoGo - by value
70.419	1	-0.056667	14	LV NoGo - by value
75.419	1	0.043333	14	LV NoGo - by value
94.419	1	-0.046667	14	LV NoGo - by value
