onset	duration	parametric_modulation	regressor	description
15.397	1	1	1	HV Go
24.398	1	1	1	HV Go
41.401	1	1	1	HV Go
55.404	1	1	1	HV Go
59.404	1	1	1	HV Go
102.4	1	1	1	HV Go
132.2	1	1	1	HV Go
138.2	1	1	1	HV Go
159.2	1	1	1	HV Go
177.2	1	1	1	HV Go
191.2	1	1	1	HV Go
218.2	1	1	1	HV Go
15.397	1	-0.035354	2	HV Go - by choice
24.398	1	-0.20202	2	HV Go - by choice
41.401	1	-0.28535	2	HV Go - by choice
55.404	1	0.17677	2	HV Go - by choice
59.404	1	-0.11869	2	HV Go - by choice
102.4	1	0.46465	2	HV Go - by choice
132.2	1	0.46465	2	HV Go - by choice
138.2	1	-0.11869	2	HV Go - by choice
159.2	1	-0.035354	2	HV Go - by choice
177.2	1	-0.28535	2	HV Go - by choice
191.2	1	0.17677	2	HV Go - by choice
218.2	1	-0.20202	2	HV Go - by choice
15.397	1	-0.051667	3	HV Go - by value
24.398	1	-0.031667	3	HV Go - by value
41.401	1	-0.051667	3	HV Go - by value
55.404	1	-0.011667	3	HV Go - by value
59.404	1	0.088333	3	HV Go - by value
102.4	1	0.058333	3	HV Go - by value
132.2	1	0.058333	3	HV Go - by value
138.2	1	0.088333	3	HV Go - by value
159.2	1	-0.051667	3	HV Go - by value
177.2	1	-0.051667	3	HV Go - by value
191.2	1	-0.011667	3	HV Go - by value
218.2	1	-0.031667	3	HV Go - by value
15.397	1	-0.094154	4	HV Go - by GSD
24.398	1	-0.085152	4	HV Go - by GSD
41.401	1	-0.068149	4	HV Go - by GSD
55.404	1	-0.054147	4	HV Go - by GSD
59.404	1	-0.050146	4	HV Go - by GSD
102.4	1	-0.0071537	4	HV Go - by GSD
132.2	1	0.02265	4	HV Go - by GSD
138.2	1	0.028651	4	HV Go - by GSD
159.2	1	0.049647	4	HV Go - by GSD
177.2	1	0.067658	4	HV Go - by GSD
191.2	1	0.081648	4	HV Go - by GSD
218.2	1	0.10865	4	HV Go - by GSD
7.3956	1	1	5	LV Go
22.398	1	1	5	LV Go
75.407	1	1	5	LV Go
94.397	1	1	5	LV Go
98.397	1	1	5	LV Go
108.4	1	1	5	LV Go
148.2	1	1	5	LV Go
174.2	1	1	5	LV Go
180.2	1	1	5	LV Go
220.2	1	1	5	LV Go
240.2	1	1	5	LV Go
244.2	1	1	5	LV Go
7.3956	1	0.19444	6	LV Go - by choice
22.398	1	-0.30556	6	LV Go - by choice
75.407	1	0.44444	6	LV Go - by choice
94.397	1	-0.38889	6	LV Go - by choice
98.397	1	-0.22222	6	LV Go - by choice
108.4	1	0.27778	6	LV Go - by choice
148.2	1	-0.38889	6	LV Go - by choice
174.2	1	-0.22222	6	LV Go - by choice
180.2	1	-0.30556	6	LV Go - by choice
220.2	1	0.44444	6	LV Go - by choice
240.2	1	0.27778	6	LV Go - by choice
244.2	1	0.19444	6	LV Go - by choice
7.3956	1	0.021667	7	LV Go - by value
22.398	1	0.061667	7	LV Go - by value
75.407	1	0.031667	7	LV Go - by value
94.397	1	-0.0083333	7	LV Go - by value
98.397	1	-0.038333	7	LV Go - by value
108.4	1	-0.068333	7	LV Go - by value
148.2	1	-0.0083333	7	LV Go - by value
174.2	1	-0.038333	7	LV Go - by value
180.2	1	0.061667	7	LV Go - by value
220.2	1	0.031667	7	LV Go - by value
240.2	1	-0.068333	7	LV Go - by value
244.2	1	0.021667	7	LV Go - by value
7.3956	1	0.037497	8	LV Go - by GSD
22.398	1	-0.012502	8	LV Go - by GSD
75.407	1	-0.012502	8	LV Go - by GSD
94.397	1	-0.012502	8	LV Go - by GSD
98.397	1	-0.012502	8	LV Go - by GSD
108.4	1	0.0041675	8	LV Go - by GSD
148.2	1	0.037497	8	LV Go - by GSD
174.2	1	0.054168	8	LV Go - by GSD
180.2	1	0.0041675	8	LV Go - by GSD
220.2	1	-0.029162	8	LV Go - by GSD
240.2	1	-0.029162	8	LV Go - by GSD
244.2	1	-0.029162	8	LV Go - by GSD
28.399	1	1	9	HV NoGo
51.403	1	1	9	HV NoGo
70.406	1	1	9	HV NoGo
77.408	1	1	9	HV NoGo
88.397	1	1	9	HV NoGo
122.4	1	1	9	HV NoGo
193.2	1	1	9	HV NoGo
195.2	1	1	9	HV NoGo
209.2	1	1	9	HV NoGo
