onset	duration	parametric_modulation	regressor	description
6.0338	0.95604	1	1	HV Go
9.0298	0.95604	1	1	HV Go
17.03	0.95604	1	1	HV Go
34.03	0.95604	1	1	HV Go
99.033	0.95604	1	1	HV Go
124.03	0.95604	1	1	HV Go
127.03	0.95604	1	1	HV Go
131.03	0.95604	1	1	HV Go
153.03	0.95604	1	1	HV Go
185.03	0.95604	1	1	HV Go
6.0338	0.95604	0.041667	2	HV Go - by choice
9.0298	0.95604	-0.041667	2	HV Go - by choice
17.03	0.95604	0.041667	2	HV Go - by choice
34.03	0.95604	0.125	2	HV Go - by choice
99.033	0.95604	0.125	2	HV Go - by choice
124.03	0.95604	-0.041667	2	HV Go - by choice
127.03	0.95604	0.041667	2	HV Go - by choice
131.03	0.95604	-0.041667	2	HV Go - by choice
153.03	0.95604	0.041667	2	HV Go - by choice
185.03	0.95604	-0.29167	2	HV Go - by choice
6.0338	0.95604	-0.1	3	HV Go - by value diff
9.0298	0.95604	-0.1	3	HV Go - by value diff
17.03	0.95604	0.01	3	HV Go - by value diff
34.03	0.95604	0.07	3	HV Go - by value diff
99.033	0.95604	0.06	3	HV Go - by value diff
124.03	0.95604	0.01	3	HV Go - by value diff
127.03	0.95604	-0.05	3	HV Go - by value diff
131.03	0.95604	0.12	3	HV Go - by value diff
153.03	0.95604	-0.06	3	HV Go - by value diff
185.03	0.95604	0.01	3	HV Go - by value diff
14.03	0.95604	1	4	HV NoGo
20.03	0.95604	1	4	HV NoGo
42.03	0.95604	1	4	HV NoGo
56.03	0.95604	1	4	HV NoGo
66.031	0.95604	1	4	HV NoGo
84.031	0.95604	1	4	HV NoGo
96.033	0.95604	1	4	HV NoGo
160.03	0.95604	1	4	HV NoGo
14.03	0.95604	0.39583	5	HV NoGo - by choice
20.03	0.95604	-0.1875	5	HV NoGo - by choice
42.03	0.95604	-0.1875	5	HV NoGo - by choice
56.03	0.95604	-0.1875	5	HV NoGo - by choice
66.031	0.95604	-0.35417	5	HV NoGo - by choice
84.031	0.95604	0.0625	5	HV NoGo - by choice
96.033	0.95604	0.0625	5	HV NoGo - by choice
160.03	0.95604	0.39583	5	HV NoGo - by choice
14.03	0.95604	0	6	HV NoGo - by value diff
20.03	0.95604	0.09	6	HV NoGo - by value diff
42.03	0.95604	0.14	6	HV NoGo - by value diff
56.03	0.95604	0.03	6	HV NoGo - by value diff
66.031	0.95604	0.04	6	HV NoGo - by value diff
84.031	0.95604	0.03	6	HV NoGo - by value diff
96.033	0.95604	-0.01	6	HV NoGo - by value diff
160.03	0.95604	-0.01	6	HV NoGo - by value diff
6.0338	0.95604	0.19415	7	HV - by RT
9.0298	0.95604	-0.19281	7	HV - by RT
14.03	0.95604	-0.15588	7	HV - by RT
17.03	0.95604	0.0060528	7	HV - by RT
20.03	0.95604	0.0021028	7	HV - by RT
34.03	0.95604	0.21387	7	HV - by RT
42.03	0.95604	-0.0062772	7	HV - by RT
56.03	0.95604	-0.16846	7	HV - by RT
66.031	0.95604	0.18233	7	HV - by RT
84.031	0.95604	-0.16291	7	HV - by RT
96.033	0.95604	0.40204	7	HV - by RT
99.033	0.95604	-0.096457	7	HV - by RT
124.03	0.95604	0.19252	7	HV - by RT
127.03	0.95604	-0.098487	7	HV - by RT
131.03	0.95604	-0.18052	7	HV - by RT
153.03	0.95604	-0.097917	7	HV - by RT
160.03	0.95604	-0.12397	7	HV - by RT
185.03	0.95604	0.090593	7	HV - by RT
45.03	0.95604	1	8	LV Go
53.03	0.95604	1	8	LV Go
79.031	0.95604	1	8	LV Go
105.03	0.95604	1	8	LV Go
109.03	0.95604	1	8	LV Go
121.03	0.95604	1	8	LV Go
137.03	0.95604	1	8	LV Go
140.03	0.95604	1	8	LV Go
149.03	0.95604	1	8	LV Go
157.03	0.95604	1	8	LV Go
177.03	0.95604	1	8	LV Go
188.03	0.95604	1	8	LV Go
45.03	0.95604	-0.48914	9	LV Go - by choice
53.03	0.95604	0.16995	9	LV Go - by choice
79.031	0.95604	0.26086	9	LV Go - by choice
105.03	0.95604	-0.15581	9	LV Go - by choice
109.03	0.95604	0.16995	9	LV Go - by choice
121.03	0.95604	-0.23914	9	LV Go - by choice
137.03	0.95604	-0.33914	9	LV Go - by choice
140.03	0.95604	0.16995	9	LV Go - by choice
149.03	0.95604	0.16995	9	LV Go - by choice
157.03	0.95604	0.26086	9	LV Go - by choice
177.03	0.95604	-0.23914	9	LV Go - by choice
188.03	0.95604	0.26086	9	LV Go - by choice
45.03	0.95604	-0.1	10	LV Go - by value diff
53.03	0.95604	0.06	10	LV Go - by value diff
79.031	0.95604	0.02	10	LV Go - by value diff
105.03	0.95604	0.01	10	LV Go - by value diff
109.03	0.95604	0	10	LV Go - by value diff
121.03	0.95604	-0.07	10	LV Go - by value diff
137.03	0.95604	0.1	10	LV Go - by value diff
140.03	0.95604	0.08	10	LV Go - by value diff
149.03	0.95604	-0.01	10	LV Go - by value diff
157.03	0.95604	-0.01	10	LV Go - by value diff
177.03	0.95604	-0.03	10	LV Go - by value diff
188.03	0.95604	0.05	10	LV Go - by value diff
2.0331	0.95604	1	11	LV NoGo
38.03	0.95604	1	11	LV NoGo
48.03	0.95604	1	11	LV NoGo
75.031	0.95604	1	11	LV NoGo
173.03	0.95604	1	11	LV NoGo
2.0331	0.95604	0.20909	12	LV NoGo - by choice
38.03	0.95604	-0.26061	12	LV NoGo - by choice
48.03	0.95604	-0.093939	12	LV NoGo - by choice
