onset	duration	parametric_modulation	regressor	description
37.408	1	1	1	HV Go
50.408	1	1	1	HV Go
61.409	1	1	1	HV Go
69.409	1	1	1	HV Go
83.41	1	1	1	HV Go
98.413	1	1	1	HV Go
134.22	1	1	1	HV Go
150.21	1	1	1	HV Go
181.21	1	1	1	HV Go
197.21	1	1	1	HV Go
210.22	1	1	1	HV Go
228.22	1	1	1	HV Go
37.408	1	0.19444	2	HV Go - by choice
50.408	1	-0.30556	2	HV Go - by choice
61.409	1	-0.055556	2	HV Go - by choice
69.409	1	0.11111	2	HV Go - by choice
83.41	1	-0.055556	2	HV Go - by choice
98.413	1	0.11111	2	HV Go - by choice
134.22	1	-0.055556	2	HV Go - by choice
150.21	1	0.11111	2	HV Go - by choice
181.21	1	0.19444	2	HV Go - by choice
197.21	1	-0.055556	2	HV Go - by choice
210.22	1	0.11111	2	HV Go - by choice
228.22	1	-0.30556	2	HV Go - by choice
37.408	1	0.04	3	HV Go - by value
50.408	1	-0.01	3	HV Go - by value
61.409	1	-0.04	3	HV Go - by value
69.409	1	-0.03	3	HV Go - by value
83.41	1	-0.05	3	HV Go - by value
98.413	1	0.09	3	HV Go - by value
134.22	1	-0.04	3	HV Go - by value
150.21	1	0.09	3	HV Go - by value
181.21	1	0.04	3	HV Go - by value
197.21	1	-0.05	3	HV Go - by value
210.22	1	-0.03	3	HV Go - by value
228.22	1	-0.01	3	HV Go - by value
37.408	1	-0.087737	4	HV Go - by GSD
50.408	1	-0.074737	4	HV Go - by GSD
61.409	1	-0.063737	4	HV Go - by GSD
69.409	1	-0.055737	4	HV Go - by GSD
83.41	1	-0.041735	4	HV Go - by GSD
98.413	1	-0.026733	4	HV Go - by GSD
134.22	1	0.0090737	4	HV Go - by GSD
150.21	1	0.025064	4	HV Go - by GSD
181.21	1	0.056065	4	HV Go - by GSD
197.21	1	0.072068	4	HV Go - by GSD
210.22	1	0.085071	4	HV Go - by GSD
228.22	1	0.10307	4	HV Go - by GSD
4.4131	1	1	5	LV Go
52.409	1	1	5	LV Go
63.409	1	1	5	LV Go
92.412	1	1	5	LV Go
94.412	1	1	5	LV Go
102.41	1	1	5	LV Go
129.22	1	1	5	LV Go
177.21	1	1	5	LV Go
192.21	1	1	5	LV Go
195.21	1	1	5	LV Go
208.22	1	1	5	LV Go
212.22	1	1	5	LV Go
4.4131	1	-0.088384	6	LV Go - by choice
52.409	1	0.10101	6	LV Go - by choice
63.409	1	-0.23232	6	LV Go - by choice
92.412	1	-0.14899	6	LV Go - by choice
94.412	1	0.18434	6	LV Go - by choice
102.41	1	0.18434	6	LV Go - by choice
129.22	1	0.18434	6	LV Go - by choice
177.21	1	-0.088384	6	LV Go - by choice
192.21	1	-0.14899	6	LV Go - by choice
195.21	1	0.10101	6	LV Go - by choice
208.22	1	0.18434	6	LV Go - by choice
212.22	1	-0.23232	6	LV Go - by choice
4.4131	1	-0.058333	7	LV Go - by value
52.409	1	0.041667	7	LV Go - by value
63.409	1	0.041667	7	LV Go - by value
92.412	1	-0.018333	7	LV Go - by value
94.412	1	0.021667	7	LV Go - by value
102.41	1	-0.028333	7	LV Go - by value
129.22	1	0.021667	7	LV Go - by value
177.21	1	-0.058333	7	LV Go - by value
192.21	1	-0.018333	7	LV Go - by value
195.21	1	0.041667	7	LV Go - by value
208.22	1	-0.028333	7	LV Go - by value
212.22	1	0.041667	7	LV Go - by value
4.4131	1	-0.013891	8	LV Go - by GSD
52.409	1	0.019439	8	LV Go - by GSD
63.409	1	0.036109	8	LV Go - by GSD
92.412	1	0.0027792	8	LV Go - by GSD
94.412	1	0.0027792	8	LV Go - by GSD
