onset	duration	parametric_modulation	regressor	description
23.429	1	1	1	HV Go
47.418	1	1	1	HV Go
49.418	1	1	1	HV Go
58.42	1	1	1	HV Go
119.41	1	1	1	HV Go
122.41	1	1	1	HV Go
167.23	1	1	1	HV Go
173.23	1	1	1	HV Go
180.23	1	1	1	HV Go
210.23	1	1	1	HV Go
236.23	1	1	1	HV Go
241.23	1	1	1	HV Go
23.429	1	0.22601	2	HV Go - by choice
47.418	1	0.22601	2	HV Go - by choice
49.418	1	-0.27399	2	HV Go - by choice
58.42	1	-0.52399	2	HV Go - by choice
119.41	1	0.036616	2	HV Go - by choice
122.41	1	0.30934	2	HV Go - by choice
167.23	1	0.22601	2	HV Go - by choice
173.23	1	0.036616	2	HV Go - by choice
180.23	1	-0.52399	2	HV Go - by choice
210.23	1	-0.27399	2	HV Go - by choice
236.23	1	0.22601	2	HV Go - by choice
241.23	1	0.30934	2	HV Go - by choice
23.429	1	0.026667	3	HV Go - by value
47.418	1	0.056667	3	HV Go - by value
49.418	1	-0.053333	3	HV Go - by value
58.42	1	-0.073333	3	HV Go - by value
119.41	1	-0.013333	3	HV Go - by value
122.41	1	0.056667	3	HV Go - by value
167.23	1	0.026667	3	HV Go - by value
173.23	1	-0.013333	3	HV Go - by value
180.23	1	-0.073333	3	HV Go - by value
210.23	1	-0.053333	3	HV Go - by value
236.23	1	0.056667	3	HV Go - by value
241.23	1	0.056667	3	HV Go - by value
23.429	1	-0.11231	4	HV Go - by GSD
47.418	1	-0.088325	4	HV Go - by GSD
49.418	1	-0.086324	4	HV Go - by GSD
58.42	1	-0.077323	4	HV Go - by GSD
119.41	1	-0.016328	4	HV Go - by GSD
122.41	1	-0.013328	4	HV Go - by GSD
167.23	1	0.031489	4	HV Go - by GSD
173.23	1	0.037489	4	HV Go - by GSD
180.23	1	0.044489	4	HV Go - by GSD
210.23	1	0.07449	4	HV Go - by GSD
236.23	1	0.10049	4	HV Go - by GSD
241.23	1	0.10549	4	HV Go - by GSD
15.429	1	1	5	LV Go
17.429	1	1	5	LV Go
70.43	1	1	5	LV Go
93.426	1	1	5	LV Go
108.43	1	1	5	LV Go
124.23	1	1	5	LV Go
130.23	1	1	5	LV Go
150.23	1	1	5	LV Go
152.23	1	1	5	LV Go
215.23	1	1	5	LV Go
221.23	1	1	5	LV Go
15.429	1	0.35262	6	LV Go - by choice
17.429	1	-0.06405	6	LV Go - by choice
70.43	1	-0.14738	6	LV Go - by choice
93.426	1	-0.23072	6	LV Go - by choice
108.43	1	0.18595	6	LV Go - by choice
124.23	1	0.18595	6	LV Go - by choice
130.23	1	-0.19284	6	LV Go - by choice
150.23	1	-0.14738	6	LV Go - by choice
152.23	1	0.35262	6	LV Go - by choice
215.23	1	-0.23072	6	LV Go - by choice
221.23	1	-0.06405	6	LV Go - by choice
15.429	1	0.081818	7	LV Go - by value
17.429	1	-0.038182	7	LV Go - by value
70.43	1	0.011818	7	LV Go - by value
93.426	1	-0.098182	7	LV Go - by value
108.43	1	0.041818	7	LV Go - by value
124.23	1	0.041818	7	LV Go - by value
130.23	1	0.0018182	7	LV Go - by value
150.23	1	0.011818	7	LV Go - by value
152.23	1	0.081818	7	LV Go - by value
215.23	1	-0.098182	7	LV Go - by value
221.23	1	-0.038182	7	LV Go - by value
15.429	1	0.01818	8	LV Go - by GSD
17.429	1	0.01818	8	LV Go - by GSD
70.43	1	0.01818	8	LV Go - by GSD
93.426	1	0.01818	8	LV Go - by GSD
108.43	1	0.01818	8	LV Go - by GSD
124.23	1	-0.01515	8	LV Go - by GSD
130.23	1	-0.01515	8	LV Go - by GSD
150.23	1	-0.01515	8	LV Go - by GSD
152.23	1	-0.01515	8	LV Go - by GSD
215.23	1	-0.01515	8	LV Go - by GSD
221.23	1	-0.01515	8	LV Go - by GSD
28.429	1	1	9	HV NoGo
34.429	1	1	9	HV NoGo
77.423	1	1	9	HV NoGo
88.425	1	1	9	HV NoGo
99.427	1	1	9	HV NoGo
104.43	1	1	9	HV NoGo
143.23	1	1	9	HV NoGo
145.23	1	1	9	HV NoGo
162.23	1	1	9	HV NoGo
203.23	1	1	9	HV NoGo
232.23	1	1	9	HV NoGo
244.23	1	1	9	HV NoGo
28.429	1	-0.056818	10	HV NoGo - by choice
34.429	1	0.10985	10	HV NoGo - by choice
77.423	1	-0.22348	10	HV NoGo - by choice
88.425	1	0.27652	10	HV NoGo - by choice
99.427	1	-0.21591	10	HV NoGo - by choice
104.43	1	0.10985	10	HV NoGo - by choice
143.23	1	0.27652	10	HV NoGo - by choice
145.23	1	-0.056818	10	HV NoGo - by choice
162.23	1	-0.21591	10	HV NoGo - by choice
203.23	1	0.10985	10	HV NoGo - by choice
232.23	1	0.10985	10	HV NoGo - by choice
244.23	1	-0.22348	10	HV NoGo - by choice
28.429	1	-0.041667	11	HV NoGo - by value
34.429	1	0.048333	11	HV NoGo - by value
77.423	1	-0.091667	11	HV NoGo - by value
88.425	1	-0.011667	11	HV NoGo - by value
99.427	1	0.068333	11	HV NoGo - by value
104.43	1	0.028333	11	HV NoGo - by value
143.23	1	-0.011667	11	HV NoGo - by value
145.23	1	-0.041667	11	HV NoGo - by value
162.23	1	0.068333	11	HV NoGo - by value
203.23	1	0.048333	11	HV NoGo - by value
232.23	1	0.028333	11	HV NoGo - by value
244.23	1	-0.091667	11	HV NoGo - by value
2.4294	1	1	12	LV NoGo
8.4291	1	1	12	LV NoGo
30.415	1	1	12	LV NoGo
51.418	1	1	12	LV NoGo
61.42	1	1	12	LV NoGo
102.43	1	1	12	LV NoGo
135.23	1	1	12	LV NoGo
139.23	1	1	12	LV NoGo
165.23	1	1	12	LV NoGo
183.23	1	1	12	LV NoGo
192.23	1	1	12	LV NoGo
201.23	1	1	12	LV NoGo
2.4294	1	-0.0025253	13	LV NoGo - by choice
8.4291	1	-0.11616	13	LV NoGo - by choice
30.415	1	0.21717	13	LV NoGo - by choice
51.418	1	-0.28283	13	LV NoGo - by choice
61.42	1	-0.032828	13	LV NoGo - by choice
102.43	1	0.21717	13	LV NoGo - by choice
135.23	1	-0.11616	13	LV NoGo - by choice
139.23	1	-0.0025253	13	LV NoGo - by choice
165.23	1	-0.28283	13	LV NoGo - by choice
183.23	1	0.21717	13	LV NoGo - by choice
192.23	1	-0.032828	13	LV NoGo - by choice
201.23	1	0.21717	13	LV NoGo - by choice
2.4294	1	0.068333	14	LV NoGo - by value
