onset	duration	parametric_modulation	regressor	description
8.022	0.95604	1	1	HV Go
43.021	0.95604	1	1	HV Go
63.008	0.95604	1	1	HV Go
67.008	0.95604	1	1	HV Go
70.023	0.95604	1	1	HV Go
84.011	0.95604	1	1	HV Go
113.02	0.95604	1	1	HV Go
140.02	0.95604	1	1	HV Go
8.022	0.95604	0.083333	2	HV Go - by choice
43.021	0.95604	-0.25	2	HV Go - by choice
63.008	0.95604	0.083333	2	HV Go - by choice
67.008	0.95604	0.083333	2	HV Go - by choice
70.023	0.95604	0.083333	2	HV Go - by choice
84.011	0.95604	0.083333	2	HV Go - by choice
113.02	0.95604	-0.25	2	HV Go - by choice
140.02	0.95604	0.083333	2	HV Go - by choice
8.022	0.95604	0.01	3	HV Go - by value diff
43.021	0.95604	-0.03	3	HV Go - by value diff
63.008	0.95604	-0.07	3	HV Go - by value diff
67.008	0.95604	-0.06	3	HV Go - by value diff
70.023	0.95604	-0.02	3	HV Go - by value diff
84.011	0.95604	-0.05	3	HV Go - by value diff
113.02	0.95604	0.01	3	HV Go - by value diff
140.02	0.95604	-0.06	3	HV Go - by value diff
5.0141	0.95604	1	4	HV NoGo
18.022	0.95604	1	4	HV NoGo
25.018	0.95604	1	4	HV NoGo
29.018	0.95604	1	4	HV NoGo
46.023	0.95604	1	4	HV NoGo
87.012	0.95604	1	4	HV NoGo
103.01	0.95604	1	4	HV NoGo
116.02	0.95604	1	4	HV NoGo
146.02	0.95604	1	4	HV NoGo
156.01	0.95604	1	4	HV NoGo
5.0141	0.95604	-0.29167	5	HV NoGo - by choice
18.022	0.95604	-0.29167	5	HV NoGo - by choice
25.018	0.95604	0.125	5	HV NoGo - by choice
29.018	0.95604	0.125	5	HV NoGo - by choice
46.023	0.95604	0.125	5	HV NoGo - by choice
87.012	0.95604	0.125	5	HV NoGo - by choice
103.01	0.95604	-0.29167	5	HV NoGo - by choice
116.02	0.95604	0.125	5	HV NoGo - by choice
146.02	0.95604	0.125	5	HV NoGo - by choice
156.01	0.95604	0.125	5	HV NoGo - by choice
5.0141	0.95604	0.01	6	HV NoGo - by value diff
18.022	0.95604	-0.05	6	HV NoGo - by value diff
25.018	0.95604	0	6	HV NoGo - by value diff
29.018	0.95604	0	6	HV NoGo - by value diff
46.023	0.95604	0.01	6	HV NoGo - by value diff
87.012	0.95604	0.02	6	HV NoGo - by value diff
103.01	0.95604	-0.02	6	HV NoGo - by value diff
116.02	0.95604	-0.03	6	HV NoGo - by value diff
146.02	0.95604	-0.08	6	HV NoGo - by value diff
156.01	0.95604	0.06	6	HV NoGo - by value diff
5.0141	0.95604	0.042513	7	HV - by RT
8.022	0.95604	-0.23146	7	HV - by RT
18.022	0.95604	0.34232	7	HV - by RT
25.018	0.95604	-0.18499	7	HV - by RT
29.018	0.95604	-0.1237	7	HV - by RT
43.021	0.95604	0.075863	7	HV - by RT
46.023	0.95604	0.056933	7	HV - by RT
63.008	0.95604	-0.023027	7	HV - by RT
67.008	0.95604	-0.35876	7	HV - by RT
70.023	0.95604	-0.084427	7	HV - by RT
84.011	0.95604	-0.050607	7	HV - by RT
87.012	0.95604	0.075833	7	HV - by RT
103.01	0.95604	0.19304	7	HV - by RT
113.02	0.95604	0.10224	7	HV - by RT
116.02	0.95604	-0.014317	7	HV - by RT
140.02	0.95604	-0.0074872	7	HV - by RT
